auth_id	prefname	viaf_id	wiki_article	given	middle	surname	bdate	byear	ddate	dyear	community	genre	standing	form	birth_qual	death_qual	birth_country	notes
10401	Kingsley Amis	11129978	Kingsley_Amis	Kingsly	William	Amis	4/16/1922		10/22/95		Postmodernist	{"Comedy", "Novel", "Satire"}	Middle	{"Prose"}			England	
10415	Matthew Arnold	73868557	Matthew_Arnold	Matthew		Arnold	12/24/1822		4/15/1888		Victorian	{"Nonfiction", "Polemic"}	Upper	{"Prose", "Poetry"}			England	
10359	William Blake	54144439	William_Blake	William		Blake	11/28/1757		8/12/1827		Romantic	{"Devotional"}	Middle	{"Poetry"}			England	
10436	James Boswell	64002337	James_Boswell	James		Boswell	10/29/1740		5/19/1795								Scotland	
10371	Elizabeth Barrett Browning	66464493	Elizabeth_Barrett_Browning	Elizabeth	Barrett Moulton	Browning	3/6/1806		6/29/1861		Victorian	{"Narrative verse", "Romance"}	Middle	{"Poetry"}			England	
10375	Robert Browning	24598774	Robert_Browning	Robert		Browning	5/7/1812		12/12/1889		Victorian	{"Narrative verse"}	Middle	{"Poetry"}			England	
10363	Lord Byron	95230688	Lord_Byron	George	Gordon	Byron	1/22/1788		4/19/1824		Romantic	{"Satire", "Romance"}	Upper	{"Poetry"}			England	
10369	Thomas Carlyle	39390702	Thomas_Carlyle	Thomas		Carlyle	12/4/1795		2/5/1881		Victorian	{"Nonfiction", "Satire", "Polemic"}	Middle	{"Prose"}			Scotland	
10347	Geoffrey Chaucer	100185203	Geoffrey_Chaucer	Geoffrey		Chaucer		1343	10/25/1400		Medieval	{"Romance", "Nonfiction", "Comedy"}	Middle	{"Poetry", "Prose"}	circa		England	
10419	Mark Twain	50566653	Mark_twain	Samuel	Langhorne	Clemens	11/30/1835		4/21/1910		19th c American	{"Satire", "Novel", "Bildungsroman", "Nonfiction"}	Middle	{"Prose"}			US	
10407	Samuel Taylor Coleridge	24599809	Samuel_Taylor_Coleridge	Samuel	Taylor	Coleridge	10/21/1772		7/25/1834		Romantic	{"Romance", "Nonfiction", "Polemic"}	Middle	{"Poetry"}			England	
10377	Charles Dickens	88666393	Charles_Dickens	Charles	John Huffam	Dickens	2/7/1812		6/9/1870		Victorian	{"Comedy", "Satire", "Novel"}	Middle	{"Prose", "Drama"}			England	
